	ERR2784728_merged	ERR2784729_merged	ERR2784730_merged	ERR2784731_merged	ERR2784741_merged	ERR2784742_merged	ERR2784743_merged	ERR2784752_merged	ERR2784753_merged	ERR2784754_merged	ERR2784755_merged	ERR2784756_merged	ERR2784757_merged	ERR2784759_merged	ERR2784760_merged	ERR2784761_merged	ERR2784762_merged	ERR2784763_merged	ERR2784780_merged	ERR2784781_merged	ERR2784782_merged	ERR2784783_merged	ERR2784796_merged	ERR2784797_merged	ERR2784798_merged	ERR2784799_merged	ERR2784800_merged	ERR2784801_merged	ERR2784802_merged	ERR2784803_merged	ERR2784804_merged	ERR2784805_merged	ERR2784806_merged	ERR2784807_merged	ERR2784808_merged	ERR2784809_merged	ERR2784810_merged	ERR2784811_merged	ERR2784816_merged	ERR2784817_merged	ERR2784818_merged	ERR2784824_merged	ERR2784826_merged	ERR2784827_merged	SRR11047625_merged	SRR11047626_merged	SRR11047627_merged	SRR11047628_merged	SRR11047629_merged	SRR11047631_merged	SRR11047632_merged	SRR11047633_merged	SRR11047634_merged	SRR11047635_merged	SRR11047636_merged	SRR11047637_merged	SRR11047639_merged	SRR11047640_merged	SRR11047641_merged	SRR11047642_merged	SRR11047643_merged	SRR11047644_merged	SRR11047645_merged	SRR11047647_merged	SRR11047648_merged	SRR11047649_merged	SRR11047650_merged	SRR11047651_merged	SRR11047653_merged	SRR11047654_merged	SRR11047655_merged	SRR11047656_merged	SRR11047657_merged	SRR11047658_merged	SRR11047659_merged	SRR11047660_merged	SRR11047661_merged	SRR11047662_merged	SRR11047663_merged	SRR11047664_merged	SRR11047665_merged	SRR11047666_merged	SRR11047668_merged	SRR11047669_merged	SRR11047670_merged	SRR11047671_merged	SRR11047672_merged	SRR11047673_merged
health_0	0.9487522281639929	0.9674688057041	0.927361853832442	0.8596256684491979	0.948306595365419	0.8257575757575758	0.5035650623885918	0.983957219251337	0.9768270944741532	0.981729055258467	0.9768270944741532	0.9745989304812834	0.9857397504456328	0.92825311942959	0.9861853832442068	0.9799465240641712	0.9808377896613192	0.9790552584670232	0.8431372549019608	0.8872549019607843	0.6880570409982175	0.6167557932263814	0.8988413547237076	0.9224598930481284	0.7549019607843137	0.7303921568627451	0.93048128342246	0.8065953654188949	0.7014260249554367	0.7446524064171123	0.9090909090909092	0.8716577540106952	0.7259358288770054	0.660873440285205	0.9598930481283422	0.9362745098039216	0.7901069518716578	0.7459893048128342	0.8863636363636364	0.9416221033868092	0.8458110516934046	0.9861853832442068	0.8912655971479501	0.927807486631016	0.0320855614973262	0.0	0.1434937611408199	0.0383244206773618	0.0	0.0	0.03475935828877	0.0338680926916221	0.0111408199643493	0.0	0.0	0.0	0.0949197860962566	0.0	0.0	0.0	0.0066844919786096	0.0	0.0	0.0	0.0	0.0539215686274509	0.0031194295900178	0.0155971479500891	0.0017825311942959	0.016934046345811	0.0	0.0	0.0	0.0120320855614973	0.0	0.0	0.0240641711229946	0.0	0.0	0.0	0.0	0.0222816399286987	0.0	0.0	0.0325311942959001	0.0	0.0	0.0320855614973262
health_1	0.7006869479882237	0.6781157998037292	0.6486751717369971	0.6319921491658489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1187438665358194	0.0	0.070657507360157	0.0588812561334641	0.0471050049067713	0.0726202158979391	0.0	0.7507360157016683	0.7507360157016683	0.7556427870461236	0.7507360157016683	0.6663395485770363	0.633954857703631	0.6967615309126595	0.6663395485770363	0.6427870461236507	0.7173699705593719	0.5907752698724239	0.4141315014720314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5593719332679097	0.5593719332679097	0.5593719332679097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_2	0.9860186418109188	0.985352862849534	0.951398135818908	0.9427430093209056	0.941411451398136	0.8761651131824234	0.7776298268974701	1.0	1.0	0.9846870838881492	1.0	1.0	1.0	0.9600532623169108	1.0	1.0	0.996671105193076	0.9940079893475366	0.914780292942743	0.8754993342210386	0.699733688415446	0.6344873501997337	0.9980026631158456	0.992676431424767	0.5452729693741678	0.7010652463382158	0.9713715046604527	0.7856191744340879	0.7729693741677763	0.8308921438082557	0.859520639147803	0.914780292942743	0.7063914780292943	0.4300932090545938	0.9953395472703064	0.9027962716378164	0.7916111850865513	0.8089214380825566	0.9933422103861518	1.0	0.9161118508655126	0.9860186418109188	0.9766977363515312	0.9793608521970706	0.1438082556591211	0.0	0.0	0.0459387483355525	0.0	0.0	0.0	0.0	0.114513981358189	0.0	0.0	0.0306258322237017	0.0	0.0	0.0252996005326231	0.0046604527296937	0.0266311584553928	0.0	0.0213049267643142	0.1291611185086551	0.0	0.0226364846870838	0.0	0.0	0.0898801597869507	0.0	0.0399467376830892	0.0	0.0	0.0	0.0	0.0	0.0246338215712383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625832223701731
health_3	0.5997458703939009	0.5997458703939009	0.5997458703939009	0.5997458703939009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0444726810673443	0.0	0.0	0.0749682337992376	0.0914866581956797	0.0	0.0546378653113087	0.0	0.0	0.0	0.0	0.639135959339263	0.639135959339263	0.639135959339263	0.639135959339263	0.8030495552731893	0.7242693773824651	0.7128335451080051	0.832274459974587	0.639135959339263	0.639135959339263	0.3367217280813214	0.2261753494282083	0.0	0.0012706480304955	0.0	0.0	0.0	0.0	0.0	0.639135959339263	0.6785260482846251	0.639135959339263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_4	0.4949201741654572	0.4949201741654572	0.4949201741654572	0.4949201741654572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1698113207547169	0.0	0.0	0.0653120464441219	0.0	0.0	0.0	0.0	0.7227866473149492	0.6792452830188679	0.714078374455733	0.6923076923076923	0.6444121915820029	0.6894049346879536	0.6444121915820029	0.6894049346879536	0.490566037735849	0.5007256894049347	0.2946298984034833	0.4731494920174166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4499274310595065	0.4513788098693759	0.4499274310595065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_5	0.898360655737705	0.8994535519125683	0.8939890710382513	0.8819672131147541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0415300546448087	0.0	0.0	0.0	0.0	0.7836065573770492	0.8349726775956284	0.3770491803278688	0.5136612021857924	0.8950819672131147	0.8950819672131147	0.8950819672131147	0.8710382513661202	0.9224043715846996	0.9278688524590164	0.8142076502732241	0.7311475409836066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.898360655737705	0.8644808743169399	0.8644808743169399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_6	0.4210526315789473	0.569377990430622	0.4210526315789473	0.4210526315789473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0765550239234449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569377990430622	0.0765550239234449	0.569377990430622	0.3636363636363636	0.4210526315789473	0.4210526315789473	0.4210526315789473	0.5550239234449761	0.7177033492822966	0.7177033492822966	0.569377990430622	0.569377990430622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569377990430622	0.5550239234449761	0.5550239234449761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_7	0.8271375464684015	0.8271375464684015	0.8271375464684015	0.8271375464684015	0.0594795539033457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.120817843866171	0.0	0.0	0.0	0.0	0.0	0.0	0.6449814126394052	0.6449814126394052	0.6449814126394052	0.6449814126394052	0.6449814126394052	0.6449814126394052	0.6449814126394052	0.6449814126394052	0.8178438661710037	0.8178438661710037	0.6412639405204461	0.4609665427509293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6338289962825279	0.6338289962825279	0.6338289962825279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_8	0.710926694329184	0.710926694329184	0.7538035961272476	0.710926694329184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0138312586445366	0.0	0.0	0.0	0.7289073305670816	0.7427385892116183	0.7289073305670816	0.7496542185338866	0.6666666666666666	0.6680497925311203	0.6141078838174274	0.5615491009681881	0.7648686030428768	0.739972337482711	0.2738589211618257	0.3485477178423236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.598893499308437	0.598893499308437	0.598893499308437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
health_9	0.7402597402597403	0.5714285714285714	0.8701298701298701	0.5584415584415584	0.6233766233766234	0.7142857142857143	0.4285714285714285	0.948051948051948	0.8701298701298701	0.8701298701298701	0.6753246753246753	0.8051948051948052	0.5714285714285714	0.5844155844155844	0.8701298701298701	0.5714285714285714	0.8311688311688312	0.5324675324675324	0.8701298701298701	0.7402597402597403	0.7532467532467533	0.5194805194805194	0.8701298701298701	0.5714285714285714	0.7532467532467533	0.5324675324675324	0.8701298701298701	0.8701298701298701	0.8701298701298701	0.4415584415584415	0.7532467532467533	0.2207792207792207	0.5714285714285714	0.2597402597402597	0.8701298701298701	0.8701298701298701	0.8701298701298701	0.6883116883116883	0.8701298701298701	0.5844155844155844	0.8701298701298701	0.7532467532467533	0.5324675324675324	0.2207792207792207	0.0	0.0	0.1168831168831168	0.0779220779220779	0.1428571428571428	0.0	0.1298701298701298	0.0779220779220779	0.0	0.0	0.2597402597402597	0.0	0.0779220779220779	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.1298701298701298	0.0	0.0909090909090909	0.1168831168831168	0.1298701298701298	0.0	0.0	0.1428571428571428	0.0	0.0	0.0389610389610389	0.0779220779220779	0.0	0.1298701298701298	0.1298701298701298	0.1038961038961039	0.0779220779220779	0.2597402597402597	0.2597402597402597	0.0	0.0	0.0129870129870129	0.0779220779220779	0.0129870129870129	0.0779220779220779
