taxon	ERR2784756	ERR2784762	ERR2784782	ERR2784818	ERR2784799	ERR2784811	ERR2784807	ERR2784826	ERR2784808	ERR2784760	ERR2784757	ERR2784731	ERR2784817	ERR2784753	ERR2784796	ERR2784783	ERR2784781	ERR2784805	ERR2784806	ERR2784803	ERR2784797	ERR2784741	ERR2784730	ERR2784759	ERR2784809	ERR2784800	ERR2784754	ERR2784742	ERR2784827	ERR2784810	ERR2784728	ERR2784802	ERR2784801	ERR2784755	ERR2784804	ERR2784763	ERR2784761	ERR2784816	ERR2784752	ERR2784780	ERR2784824	ERR2784743	ERR2784729	ERR2784798
Segatella copri	1379.0	5423.0	821.0	2108.0	633951.0	3118.0	76401.0	194120.0	3751.0	6131.0	1494.0	341820.0	2605.0	1991.0	743848.0	738.0	1085.0	238078.0	85968.0	2034085.0	724810.0	3830.0	355652.0	1015.0	3675.0	2274950.0	1550.0	3297.0	183163.0	3274.0	374763.0	2128644.0	2185306.0	1501.0	258453.0	5372.0	6004.0	2582.0	1831.0	1009.0	220757.0	3097.0	366873.0	672203.0
Phocaeicola vulgatus	18185.0	16992.0	141931.0	415442.0	38604.0	531590.0	1751.0	245759.0	588065.0	18844.0	18015.0	24900.0	438456.0	226116.0	45044.0	134778.0	147904.0	5310.0	1940.0	16974.0	44176.0	1543208.0	25840.0	15675.0	574408.0	19647.0	209531.0	1436485.0	231708.0	553945.0	27568.0	17893.0	18726.0	200013.0	5491.0	16313.0	18506.0	449043.0	229473.0	150792.0	267437.0	1345262.0	26915.0	41028.0
Phocaeicola dorei	535712.0	719211.0	31810.0	15638.0	15458.0	15441.0	92.0	116011.0	17411.0	775982.0	521686.0	489156.0	17010.0	34979.0	18330.0	30468.0	33400.0	271.0	118.0	4228.0	17681.0	41535.0	507217.0	466866.0	16869.0	5044.0	32685.0	38301.0	109523.0	16072.0	533572.0	4600.0	4879.0	30905.0	352.0	685134.0	757262.0	17895.0	36091.0	33906.0	126025.0	35700.0	526572.0	16280.0
Bacteroides uniformis	488950.0	738591.0	231434.0	57545.0	97777.0	2923.0	645.0	106080.0	3394.0	817862.0	472682.0	18655.0	62000.0	78199.0	118843.0	217210.0	246010.0	2000.0	685.0	9649.0	114297.0	219446.0	19245.0	414649.0	3374.0	11096.0	72988.0	202731.0	99160.0	3085.0	20913.0	10244.0	10920.0	69083.0	2249.0	697943.0	789430.0	64038.0	82027.0	252543.0	116532.0	188614.0	20208.0	104953.0
Bacteroides caccae	111271.0	102419.0	709.0	7527.0	5136.0	7232.0	41.0	5309.0	8576.0	110614.0	108761.0	399106.0	8252.0	74563.0	6025.0	718.0	838.0	203.0	62.0	743.0	5919.0	91178.0	416619.0	96665.0	8077.0	921.0	70300.0	85078.0	5163.0	7580.0	439155.0	801.0	824.0	66577.0	200.0	97140.0	108167.0	8529.0	75938.0	862.0	5817.0	79519.0	433885.0	5495.0
Bacteroides thetaiotaomicron	26513.0	12070.0	79203.0	9845.0	15231.0	131494.0	457.0	131562.0	145809.0	13853.0	25780.0	78523.0	10986.0	140592.0	17982.0	75121.0	85169.0	1461.0	506.0	26343.0	17800.0	79395.0	81887.0	22630.0	142253.0	30596.0	132467.0	74169.0	124567.0	137498.0	86921.0	28012.0	29080.0	124962.0	1488.0	11339.0	13089.0	11338.0	143325.0	86748.0	143333.0	68708.0	86426.0	15948.0
Agathobacter rectalis	82399.0	48185.0	47395.0	92631.0	17520.0	7975.0	4890.0	40776.0	8647.0	53044.0	81178.0	55300.0	97314.0	254688.0	20685.0	44592.0	50275.0	14377.0	5420.0	24611.0	19873.0	48744.0	57506.0	71459.0	8639.0	27867.0	242389.0	45976.0	38504.0	8326.0	60671.0	25631.0	26773.0	230647.0	15606.0	45766.0	51883.0	99677.0	258649.0	51389.0	43278.0	43070.0	60105.0	18734.0
Bacteroides stercoris	123836.0	50929.0	6174.0	32932.0	4782.0	142994.0	61.0	6239.0	160057.0	54578.0	120963.0	28026.0	34931.0	21030.0	5815.0	6026.0	6668.0	213.0	77.0	13220.0	5707.0	343446.0	28871.0	107878.0	154460.0	14991.0	18594.0	320424.0	5886.0	149383.0	30524.0	13780.0	14529.0	17688.0	212.0	47917.0	52751.0	35905.0	22420.0	6837.0	7324.0	301146.0	29605.0	5177.0
Alistipes putredinis	193.0	178456.0	59201.0	62551.0	8870.0	513.0	35.0	139855.0	589.0	197255.0	192.0	172.0	65349.0	131735.0	10723.0	56155.0	62420.0	137.0	36.0	1000.0	10138.0	288.0	213.0	128.0	601.0	1292.0	124007.0	222.0	130416.0	561.0	211.0	1050.0	1115.0	116895.0	133.0	168420.0	187376.0	68601.0	139179.0	65585.0	156783.0	186.0	227.0	9321.0
Parabacteroides distasonis	28723.0	101740.0	43569.0	45011.0	14620.0	51485.0	460.0	53737.0	58871.0	114577.0	27631.0	37604.0	48505.0	57809.0	17552.0	40989.0	45520.0	1447.0	469.0	9888.0	16993.0	58118.0	39388.0	23685.0	56745.0	11899.0	53315.0	53545.0	50474.0	53727.0	42420.0	10887.0	11078.0	49764.0	1521.0	96100.0	109271.0	50075.0	59906.0	47651.0	60814.0	49769.0	41362.0	15836.0
