taxon	SRR11047645	SRR11047635	SRR11047655	SRR11047651	SRR11047627	SRR11047665	SRR11047662	SRR11047628	SRR11047659	SRR11047672	SRR11047648	SRR11047639	SRR11047660	SRR11047626	SRR11047663	SRR11047656	SRR11047632	SRR11047640	SRR11047634	SRR11047670	SRR11047673	SRR11047667	SRR11047643	SRR11047633	SRR11047649	SRR11047657	SRR11047654	SRR11047668	SRR11047636	SRR11047666	SRR11047644	SRR11047631	SRR11047637	SRR11047642	SRR11047641	SRR11047629	SRR11047625	SRR11047669	SRR11047671	SRR11047653	SRR11047658	SRR11047647	SRR11047650	SRR11047664	SRR11047661
Phocaeicola vulgatus	832290.0	1364959.0	901250.0	2318210.0	12329.0	2309406.0	1796460.0	4881562.0	3070259.0	971121.0	1639912.0	1992342.0	609337.0	1624655.0	15891.0	2556400.0	2367290.0	1861130.0	758996.0	2353138.0	152169.0	536651.0	1654556.0	2265898.0	3826312.0	3423642.0	13602.0	374241.0	478872.0	138045.0	17257.0	249112.0	746947.0	635551.0	481373.0	1399061.0	1416892.0	1782771.0	286115.0	16518.0	1287312.0	102876.0	242153.0	693094.0	1395195.0
Bacteroides uniformis	1031750.0	1495375.0	269649.0	950838.0	5734.0	13920.0	340989.0	1355388.0	2579526.0	2366488.0	3250120.0	1396268.0	776342.0	804470.0	1045717.0	666825.0	983189.0	15478.0	1165614.0	1557424.0	34949.0	338714.0	13486.0	1202058.0	483126.0	865025.0	1005458.0	284570.0	576301.0	348830.0	7876.0	213449.0	1386589.0	141431.0	40878.0	271992.0	59562.0	799503.0	1393064.0	2852436.0	329197.0	281029.0	655097.0	941653.0	242483.0
Alistipes onderdonkii	739288.0	978.0	498068.0	30430.0	2314005.0	1575771.0	15867.0	594149.0	3509.0	190947.0	591.0	253296.0	3770.0	123533.0	6237.0	935304.0	21195.0	28760.0	7682.0	213982.0	209818.0	173.0	3840114.0	42667.0	498.0	25419.0	477.0	1416.0	1578432.0	1848.0	7955406.0	168472.0	12693.0	98314.0	56075.0	24988.0	1100689.0	7911.0	666.0	182.0	3379178.0	194944.0	26192.0	1437.0	595.0
Bacteroides stercoris	8544.0	2411441.0	5052.0	7322.0	4860.0	512869.0	2396.0	20672.0	4799.0	7323.0	13677.0	10480.0	12480.0	3952167.0	1648.0	1337695.0	7753.0	450179.0	4174.0	5852.0	4141921.0	1697.0	103035.0	580327.0	12784.0	1722462.0	4924.0	341976.0	5775.0	36616.0	5002.0	2527.0	6491.0	136444.0	1951.0	138520.0	3331514.0	7740.0	1644640.0	6299.0	9060.0	7506.0	10578.0	490764.0	1516.0
Bacteroides cellulosilyticus	30826.0	3960.0	158549.0	214639.0	1502223.0	3831.0	288951.0	6642.0	903227.0	4647.0	9746.0	1245919.0	209511.0	1726.0	22262.0	2680.0	5886.0	2789.0	3426.0	1544064.0	1222091.0	2337.0	3749.0	4270.0	1427497.0	9930.0	1601782.0	1206.0	1115.0	4844.0	1946080.0	281378.0	107083.0	69380.0	6208.0	10671.0	6069.0	35963.0	1017077.0	505073.0	778.0	1828671.0	23938.0	4156.0	889.0
Segatella copri	9488.0	3043.0	3514298.0	1332.0	5488.0	1387.0	15726.0	12822.0	2652.0	60701.0	3264.0	1692.0	27578.0	1666.0	1821.0	5764.0	48716.0	134462.0	1217.0	528.0	24222.0	4721.0	2739.0	25285.0	4130.0	4487.0	1979.0	5460.0	3239.0	9735.0	11861.0	2469.0	2011.0	5408882.0	6851183.0	8282.0	4511.0	1816.0	3656.0	3609.0	1879.0	2290.0	12025.0	2760.0	610.0
Phocaeicola dorei	22438.0	2190695.0	58071.0	42340.0	5759.0	66440.0	55964.0	379001.0	53580.0	19114.0	47010.0	88539.0	849741.0	50114.0	3402.0	58772.0	40624.0	54497.0	94132.0	26852.0	2839574.0	8519.0	22316.0	149990.0	282830.0	169686.0	8331.0	34369.0	14593.0	1819375.0	18190.0	8677.0	148299.0	367032.0	9418.0	54957.0	79620.0	24049.0	4092761.0	17841.0	21285.0	1054742.0	242079.0	32637.0	25900.0
Agathobacter rectalis	57253.0	344730.0	275320.0	722779.0	181336.0	552555.0	79182.0	419396.0	403436.0	478336.0	1505559.0	265698.0	539875.0	129415.0	320856.0	20295.0	143082.0	14652.0	66911.0	106985.0	106738.0	1359497.0	254357.0	250417.0	39271.0	56120.0	243888.0	1548627.0	202695.0	713814.0	76255.0	35284.0	532603.0	192313.0	137653.0	18047.0	23247.0	23773.0	14464.0	1211315.0	292820.0	69162.0	176404.0	215250.0	773330.0
Bacteroides thetaiotaomicron	57495.0	226352.0	183292.0	73289.0	25372.0	50040.0	286736.0	420078.0	1148070.0	1172587.0	99387.0	782438.0	526665.0	592506.0	13946.0	70131.0	66759.0	16990.0	249926.0	481063.0	58532.0	41392.0	462931.0	230524.0	149605.0	171861.0	134726.0	52627.0	30246.0	985732.0	18474.0	29209.0	755545.0	86588.0	92152.0	143090.0	140449.0	94265.0	2670997.0	790573.0	118871.0	424835.0	89562.0	467602.0	126546.0
Faecalibacterium prausnitzii	138561.0	164715.0	297724.0	7425.0	487526.0	317732.0	629477.0	135824.0	89039.0	272871.0	552755.0	449457.0	286279.0	122273.0	79636.0	130926.0	202787.0	69997.0	98654.0	16320.0	16997.0	215724.0	137639.0	64680.0	459630.0	142909.0	76205.0	112333.0	131432.0	354654.0	27611.0	54980.0	194515.0	229840.0	358242.0	311519.0	564516.0	180981.0	37151.0	583489.0	341624.0	445046.0	354866.0	196120.0	22198.0
Carjivirus communis	978.0	86578.0	0.0	304312.0	1.0	317.0	0.0	35696.0	1.0	80209.0	5234043.0	46.0	647356.0	3.0	256.0	298.0	1.0	3.0	103.0	912468.0	1.0	8.0	1.0	75.0	121.0	275259.0	4036.0	4.0	1.0	0.0	1.0	1135159.0	19.0	13406.0	1.0	0.0	20379.0	8.0	170.0	2.0	2.0	1.0	4148.0	1.0	317186.0
Alistipes putredinis	359662.0	4819.0	211173.0	1262.0	367209.0	506.0	322455.0	1721.0	257456.0	18573.0	164.0	493783.0	365.0	1128.0	90007.0	568781.0	261632.0	612.0	137555.0	2729.0	614058.0	2759.0	12942.0	317106.0	99.0	314962.0	262.0	53011.0	662885.0	644581.0	5071.0	249141.0	290282.0	404372.0	184703.0	512867.0	273693.0	308227.0	73.0	249.0	145876.0	211361.0	163810.0	500916.0	659.0
Bacteroides ovatus	187934.0	117107.0	142570.0	294257.0	47059.0	89862.0	11160.0	364288.0	440701.0	412290.0	49315.0	246893.0	264116.0	31035.0	20466.0	28947.0	391224.0	3525.0	15597.0	366057.0	120475.0	340652.0	301804.0	126596.0	613173.0	111928.0	806763.0	21116.0	386246.0	140187.0	9335.0	10646.0	185706.0	143553.0	9378.0	248289.0	578595.0	80883.0	43133.0	20454.0	33790.0	268830.0	91821.0	304263.0	321692.0
Parabacteroides merdae	292091.0	12644.0	838241.0	42290.0	646.0	9321.0	175953.0	541966.0	1238.0	121588.0	180036.0	2074.0	333885.0	517807.0	482.0	334376.0	192361.0	791962.0	4146.0	116300.0	14065.0	3606.0	1007.0	225767.0	359385.0	79007.0	1113643.0	31197.0	7681.0	6567.0	6449.0	2017.0	183060.0	232764.0	153594.0	926877.0	191785.0	89040.0	1856.0	2082.0	169575.0	204240.0	59152.0	7303.0	2958.0
Bacteroides xylanisolvens	35579.0	32894.0	18840.0	48221.0	25628.0	763632.0	29842.0	165586.0	89413.0	131081.0	526472.0	222272.0	96854.0	164084.0	16507.0	89910.0	58779.0	3051.0	15705.0	81514.0	1346233.0	522408.0	40672.0	911670.0	114544.0	176981.0	140860.0	189561.0	24392.0	76372.0	12071.0	12478.0	90491.0	39494.0	61458.0	171179.0	186124.0	481036.0	341276.0	14536.0	421474.0	47348.0	38251.0	36293.0	23003.0
Bacteroides eggerthii	329066.0	8695.0	1743.0	2778.0	1361.0	5976.0	5084.0	1305915.0	3320.0	6491.0	5266.0	3119.0	1166740.0	26919.0	1751.0	2774.0	3284.0	13007.0	7944.0	3085.0	15599.0	1154.0	57835.0	858784.0	4099.0	14423.0	3925.0	1765.0	2890.0	1212917.0	1675.0	4276.0	5882.0	3533.0	1411.0	73890.0	13263.0	2006.0	23433.0	4314.0	1003.0	3432.0	1083373.0	1018353.0	1188.0
Parabacteroides distasonis	215747.0	343406.0	153325.0	153807.0	16762.0	8700.0	210682.0	50915.0	36333.0	201848.0	35282.0	239580.0	40043.0	38301.0	12830.0	34068.0	246223.0	24791.0	294915.0	32990.0	1246734.0	11180.0	1077089.0	276619.0	521248.0	140897.0	14172.0	24808.0	16142.0	34280.0	15874.0	92566.0	172119.0	95857.0	69869.0	20871.0	30743.0	118896.0	165199.0	10751.0	13455.0	24759.0	103357.0	159487.0	51109.0
Blautia wexlerae	83760.0	67876.0	295428.0	30359.0	43357.0	212491.0	351389.0	171475.0	67154.0	121663.0	629425.0	180972.0	40951.0	61582.0	180786.0	80006.0	175769.0	19407.0	103937.0	100784.0	45657.0	559240.0	190617.0	74120.0	17614.0	75293.0	120862.0	721230.0	54154.0	195907.0	33876.0	24228.0	17344.0	94014.0	55964.0	130509.0	190088.0	83753.0	125120.0	90601.0	251690.0	58879.0	236161.0	64024.0	82061.0
Bacteroides caccae	3445.0	40426.0	12288.0	123574.0	9915.0	5939.0	243203.0	40160.0	6948.0	14439.0	6859.0	12829.0	19472.0	522020.0	16096.0	14018.0	6143.0	10399.0	12276.0	3379.0	549893.0	33451.0	9424.0	170091.0	7983.0	128917.0	804005.0	16117.0	614843.0	12042.0	9568.0	2968.0	339900.0	198702.0	1751.0	359238.0	218564.0	241375.0	499544.0	4229.0	166648.0	181390.0	4589.0	9903.0	397402.0
Roseburia faecis	21762.0	25367.0	14402.0	7007.0	55755.0	184212.0	17974.0	125709.0	12321.0	65758.0	25434.0	15978.0	205599.0	56194.0	69558.0	59844.0	404200.0	5354.0	6852.0	8164.0	2912.0	229914.0	92081.0	102108.0	1497.0	5265.0	3779.0	111824.0	13279.0	286918.0	29265.0	6146.0	5305.0	134663.0	17147.0	452045.0	328364.0	173854.0	269924.0	44944.0	1024513.0	91660.0	317756.0	170408.0	226318.0
Bacteroides fragilis	53059.0	95296.0	43717.0	70251.0	20667.0	51864.0	103442.0	64906.0	52274.0	554045.0	23229.0	379136.0	52022.0	48197.0	33206.0	230554.0	33548.0	35331.0	63986.0	88129.0	140095.0	8873.0	67869.0	75579.0	29988.0	74886.0	18636.0	19401.0	150078.0	131379.0	911226.0	16285.0	72317.0	13229.0	8506.0	26586.0	127737.0	49159.0	66371.0	892072.0	14351.0	169054.0	18908.0	19601.0	24101.0
Alistipes finegoldii	27608.0	279.0	40592.0	3475.0	84455.0	6957.0	71573.0	203957.0	2074.0	63486.0	220.0	362550.0	2783.0	2766.0	135293.0	28120.0	32672.0	2106315.0	271290.0	702.0	11734.0	77.0	16204.0	3968.0	463.0	21991.0	221.0	1224.0	52469.0	2350.0	197011.0	227592.0	204807.0	27025.0	49775.0	163069.0	145878.0	181397.0	657.0	76.0	224509.0	100830.0	4063.0	932.0	44651.0
Bacteroides faecis	171328.0	443905.0	8938.0	199467.0	7828.0	10143.0	9469.0	34277.0	14674.0	16058.0	16550.0	8654.0	12142.0	45958.0	1867.0	10535.0	449481.0	6360.0	6565.0	17847.0	34285.0	3818.0	7491.0	17644.0	2195627.0	588044.0	31828.0	5807.0	12612.0	21384.0	3116.0	10406.0	11105.0	8130.0	4535.0	23046.0	32569.0	17735.0	34770.0	3277.0	3318.0	6772.0	3818.0	15896.0	7804.0
Roseburia intestinalis	56102.0	340606.0	132230.0	10665.0	27775.0	174709.0	173359.0	53689.0	54858.0	253833.0	43637.0	206161.0	28331.0	2784.0	19518.0	34015.0	46549.0	9423.0	15304.0	63394.0	2609.0	26053.0	112604.0	25710.0	2018.0	143700.0	70095.0	39490.0	95657.0	14699.0	10932.0	10752.0	138017.0	91277.0	36682.0	70536.0	249274.0	13647.0	275285.0	54881.0	321066.0	10444.0	170571.0	95588.0	115808.0
Anaerostipes hadrus	52950.0	51014.0	188456.0	182680.0	43982.0	67113.0	173069.0	32787.0	127158.0	36430.0	6967.0	68752.0	44292.0	7641.0	259732.0	3571.0	119652.0	41820.0	56448.0	67647.0	81256.0	584166.0	44934.0	37987.0	18365.0	33966.0	52671.0	59110.0	60753.0	7295.0	20189.0	11040.0	2516.0	60709.0	65401.0	48843.0	203560.0	141297.0	150775.0	28585.0	42201.0	141840.0	102643.0	133479.0	96100.0
Lachnospira eligens	94779.0	26030.0	5454.0	132892.0	21161.0	13830.0	207791.0	14700.0	4438.0	55974.0	101690.0	59225.0	17778.0	572.0	106451.0	41082.0	162441.0	28144.0	7913.0	2992.0	375.0	3785.0	92159.0	1944.0	722.0	111003.0	1666.0	3412.0	167943.0	6407.0	1306.0	354020.0	3399.0	209252.0	15862.0	155462.0	2108.0	137877.0	2948.0	241474.0	337895.0	117678.0	167442.0	113945.0	3563.0
Simiaoa sunii	74875.0	13500.0	9439.0	8673.0	13446.0	10885.0	486162.0	12431.0	75057.0	542027.0	172885.0	80566.0	25904.0	1859.0	79753.0	87384.0	77554.0	87121.0	4530.0	22440.0	1561.0	16155.0	60192.0	3154.0	5052.0	51503.0	5088.0	17247.0	22274.0	15085.0	1640.0	4305.0	6363.0	49739.0	97976.0	13390.0	90032.0	13946.0	2298.0	80707.0	92559.0	49795.0	600382.0	140821.0	7207.0
Alistipes shahii	288446.0	976.0	64327.0	17190.0	485395.0	4117.0	221573.0	10984.0	132420.0	117859.0	712.0	76005.0	12888.0	1991.0	3031.0	10265.0	233408.0	8486.0	467863.0	4449.0	6087.0	110.0	32227.0	87897.0	1147.0	49116.0	705.0	10462.0	47815.0	2762.0	92118.0	10741.0	222576.0	50484.0	22993.0	10935.0	18751.0	69251.0	302.0	336.0	195209.0	138445.0	65981.0	4720.0	1095.0
Barnesiella intestinihominis	73.0	156.0	235.0	165877.0	746.0	1252.0	293171.0	132.0	34.0	368.0	167.0	31.0	27.0	102768.0	22.0	605.0	254.0	536.0	945.0	22.0	215855.0	23.0	890.0	856.0	2035.0	87168.0	15.0	60381.0	753593.0	155.0	6296.0	2436.0	203717.0	146.0	198287.0	901660.0	124.0	65.0	187.0	38.0	292.0	578.0	35978.0	665.0	546.0
Bacteroides intestinalis	265320.0	1849.0	6295.0	2364.0	21905.0	4772.0	3711.0	3556.0	9303.0	2496.0	2284.0	1343.0	2978.0	6232.0	503070.0	1474.0	2627.0	2143.0	1233.0	16847.0	8695.0	894.0	5062.0	6086.0	17468.0	2370.0	26157.0	1628.0	618.0	2339.0	42169.0	3949.0	1745426.0	2892.0	1144.0	8741.0	2015.0	8370.0	15231.0	73702.0	202.0	36712.0	1124.0	4758.0	144.0
Akkermansia muciniphila	216328.0	101024.0	513.0	139.0	1254.0	373.0	892.0	249466.0	50971.0	12186.0	647.0	1142.0	569660.0	427.0	1667.0	360793.0	1043.0	5061.0	64994.0	140983.0	33411.0	356770.0	2402.0	2079.0	2588.0	1368.0	227.0	7151.0	1578.0	11257.0	11518.0	904.0	275154.0	452.0	19577.0	594.0	10425.0	160.0	645.0	695.0	103846.0	475.0	133328.0	1775.0	268.0
Ruminococcus bicirculans (ex Wegman et al. 2014)	98403.0	17185.0	2831.0	557.0	97698.0	877.0	7756.0	275.0	1390.0	25172.0	946.0	19012.0	20337.0	2485.0	5333.0	2628.0	837093.0	332183.0	171161.0	317.0	166.0	2113.0	173528.0	2880.0	5736.0	17255.0	196.0	73341.0	8487.0	1575.0	2491.0	14939.0	5254.0	910.0	87915.0	1082.0	1955.0	502.0	300.0	2999.0	317488.0	167592.0	3438.0	7356.0	239.0
Alistipes communis	84971.0	8202.0	49911.0	646.0	291112.0	19694.0	53606.0	9707.0	19911.0	59854.0	816.0	50514.0	5572.0	27991.0	6127.0	18370.0	147504.0	28353.0	8120.0	3141.0	17135.0	202.0	246303.0	28368.0	2127.0	30935.0	1295.0	10274.0	267853.0	13695.0	151032.0	27456.0	38478.0	67503.0	10653.0	358348.0	12601.0	34394.0	6703.0	368.0	41590.0	170322.0	10056.0	14073.0	300.0
Odoribacter splanchnicus	66220.0	691.0	60943.0	99577.0	905.0	873.0	191672.0	711.0	4381.0	262775.0	220.0	1210.0	1190.0	1019.0	149.0	78997.0	85628.0	684.0	37055.0	1176.0	504.0	83.0	108082.0	65331.0	45830.0	157032.0	45818.0	170.0	890.0	221758.0	1549.0	47955.0	112428.0	536.0	41042.0	1702.0	292.0	100554.0	3323.0	133944.0	224785.0	147616.0	18688.0	1740.0	1115.0
Paraprevotella clara	2073.0	20857.0	303.0	473.0	461.0	809.0	290705.0	895.0	35328.0	669.0	383.0	295.0	37901.0	11075.0	284.0	181690.0	390805.0	976.0	231.0	1227.0	2748.0	150.0	1587.0	1764.0	930.0	217579.0	339.0	2790.0	289.0	388.0	2617.0	940.0	383.0	181748.0	56750.0	31780.0	564057.0	339.0	681.0	167.0	440.0	460.0	206057.0	27764.0	49.0
[Ruminococcus] torques	4990.0	65642.0	366123.0	4464.0	20891.0	83320.0	25348.0	255249.0	129721.0	58110.0	27364.0	50137.0	79492.0	21022.0	135031.0	4317.0	20919.0	12310.0	34421.0	133370.0	8731.0	6752.0	7718.0	33083.0	2815.0	31995.0	47280.0	72418.0	54945.0	15204.0	26007.0	14845.0	51584.0	9676.0	28176.0	29299.0	8690.0	4273.0	21781.0	33315.0	30425.0	42584.0	44683.0	43538.0	54982.0
Anaerobutyricum hallii	77030.0	32612.0	4582.0	28538.0	58283.0	3625.0	70363.0	63435.0	54970.0	26723.0	556284.0	49939.0	65475.0	24000.0	55758.0	55902.0	30846.0	33976.0	96657.0	3081.0	14544.0	22135.0	37610.0	21821.0	3355.0	17961.0	31923.0	134752.0	30682.0	38166.0	11069.0	19245.0	9594.0	49756.0	28071.0	25986.0	41312.0	20015.0	19478.0	7797.0	49992.0	29681.0	50652.0	45970.0	46718.0
Flavonifractor plautii	17586.0	20380.0	78865.0	14562.0	47403.0	41538.0	23829.0	91532.0	76782.0	18704.0	243752.0	44949.0	45456.0	17451.0	13695.0	33628.0	29840.0	64367.0	29729.0	45677.0	86349.0	233805.0	26513.0	27429.0	84324.0	18764.0	111388.0	20725.0	45082.0	19349.0	69960.0	24778.0	19778.0	9215.0	5984.0	16066.0	26577.0	8018.0	34537.0	67340.0	77441.0	17301.0	24082.0	23058.0	41416.0
Mediterraneibacter gnavus	20241.0	35809.0	34750.0	79065.0	53022.0	41556.0	89775.0	46138.0	44684.0	45042.0	115291.0	38924.0	61457.0	9163.0	28805.0	21944.0	56663.0	31430.0	50529.0	33848.0	30674.0	142668.0	36403.0	24668.0	11061.0	14947.0	32945.0	99483.0	55676.0	33382.0	14578.0	18351.0	56722.0	33895.0	24082.0	45303.0	53036.0	19436.0	46749.0	99829.0	89242.0	35433.0	48110.0	47940.0	65548.0
Vescimonas coprocola	150429.0	3581.0	196960.0	974.0	85742.0	1297.0	89313.0	36424.0	2056.0	33989.0	1473.0	1477.0	129765.0	6796.0	8117.0	177443.0	58295.0	9598.0	142568.0	2099.0	1935.0	652.0	64670.0	6107.0	6915.0	26068.0	3185.0	1955.0	38638.0	16375.0	82057.0	27520.0	37340.0	38460.0	11326.0	59153.0	6564.0	34392.0	2193.0	362942.0	13702.0	9687.0	49058.0	67086.0	997.0
Bacteroides salyersiae	10055.0	23214.0	8199.0	76700.0	3664.0	38315.0	115792.0	17290.0	4234.0	10864.0	12023.0	7870.0	8383.0	11712.0	1506.0	10002.0	14935.0	12911.0	3100.0	9585.0	258975.0	2344.0	5777.0	19885.0	17496.0	924446.0	14319.0	2890.0	19079.0	11044.0	22791.0	5184.0	200922.0	5748.0	2612.0	14681.0	22007.0	7276.0	26543.0	3961.0	5654.0	17999.0	3739.0	15445.0	1443.0
Carjivirus hominis	194.0	20651.0	0.0	97698.0	5.0	61.0	0.0	9345.0	0.0	16120.0	1087573.0	7.0	129097.0	0.0	61.0	25.0	0.0	0.0	17.0	157362.0	1.0	0.0	1.0	0.0	20.0	49583.0	3.0	3.0	0.0	1.0	1.0	194459.0	5.0	3170.0	0.0	0.0	3288.0	0.0	45.0	1.0	14.0	2.0	968.0	0.0	52364.0
Blautia obeum	21586.0	29719.0	33903.0	57293.0	52273.0	15877.0	39271.0	21152.0	23195.0	52373.0	29630.0	50188.0	38503.0	3699.0	27891.0	20657.0	54577.0	14359.0	26316.0	23839.0	12156.0	25386.0	63717.0	11495.0	5255.0	7262.0	10159.0	128792.0	33941.0	66901.0	12532.0	81692.0	11006.0	55019.0	21812.0	19922.0	17316.0	28043.0	7017.0	254934.0	42106.0	15331.0	14653.0	50606.0	13204.0
Bifidobacterium longum	5576.0	1785.0	8712.0	94974.0	833150.0	41136.0	3483.0	911.0	515.0	1434.0	1421.0	10470.0	1417.0	810.0	513.0	1343.0	16697.0	9475.0	11713.0	362.0	138.0	189.0	2960.0	3515.0	5916.0	475.0	550.0	28456.0	3138.0	33395.0	537.0	1436.0	1179.0	1872.0	8071.0	10481.0	9589.0	50383.0	3983.0	260883.0	5208.0	1902.0	2586.0	91011.0	183.0
