#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	ERR2784728	ERR2784729	ERR2784730	ERR2784731	ERR2784741	ERR2784742	ERR2784743	ERR2784752	ERR2784753	ERR2784754	ERR2784755	ERR2784756	ERR2784757	ERR2784759	ERR2784760	ERR2784761	ERR2784762	ERR2784763	ERR2784780	ERR2784781	ERR2784782	ERR2784783	ERR2784796	ERR2784797	ERR2784798	ERR2784799	ERR2784800	ERR2784801	ERR2784802	ERR2784803	ERR2784804	ERR2784805	ERR2784806	ERR2784807	ERR2784808	ERR2784809	ERR2784810	ERR2784811	ERR2784816	ERR2784817	ERR2784818	ERR2784824	ERR2784826	ERR2784827
UNCLASSIFIED	10.802066	10.760588	10.495272	10.030379	9.658546	12.163074	10.869783	12.897499	12.820024	14.451454	13.443143	7.674441	7.87403	8.135874	11.247187	10.855863	11.021892	10.526432	11.145226	10.478944	11.617767	11.520671	8.22683	8.581896	8.970445	9.831878	15.747465	16.341813	17.033362	16.714321	6.138803	6.274352	6.961329	4.926316	7.573531	6.369845	7.774893	7.253527	8.283303	7.078105	8.950386	9.482884	10.857117	10.667333
k__Bacteria	89.197934	89.239412	89.504728	89.969621	90.341454	87.836926	89.130217	87.102501	87.179976	85.548546	86.556857	92.325559	92.12597	91.864126	88.752813	89.144137	88.978108	89.473568	88.854774	89.521056	88.382233	88.479329	91.627929	91.28311	90.906937	90.027379	84.252535	83.658187	82.966638	83.285679	93.728657	93.633698	92.889675	95.049381	92.426469	93.630155	92.225107	92.746473	90.816021	91.963464	90.219161	90.517116	89.142883	89.332667
k__Bacteria|p__Bacteroidota	57.332505	57.678909	57.950296	58.62535	73.640993	71.478172	72.765471	46.222417	45.942457	45.239702	45.644724	53.690584	53.834552	53.655103	76.333952	77.005553	77.21625	77.882948	31.636034	31.695789	30.958111	31.250598	31.326375	31.61106	31.080997	30.188934	68.592725	68.482809	67.921752	68.475107	40.718501	40.894747	37.384672	37.810382	47.985542	48.174822	47.093284	47.459563	32.314579	33.252013	31.990985	54.367306	53.62644	53.706663
k__Bacteria|p__Firmicutes	28.461755	28.309095	28.234095	28.130938	15.008469	14.704526	14.777635	38.754727	39.328202	38.361692	38.934955	33.50839	33.043064	32.908647	12.049957	11.785283	11.400365	11.245498	50.072881	50.957023	50.620943	50.41832	57.554917	57.008335	57.145402	57.106063	14.527532	14.106533	13.961854	13.716234	34.2401	33.455509	32.093164	33.942661	42.938369	43.920381	43.680621	43.860535	54.632916	54.727671	54.415346	29.146255	28.360164	28.28373
k__Bacteria|p__Pseudomonadota	1.601177	1.778162	1.707303	1.638969	1.500328	1.510624	1.433227	0.123111	0.110178	0.106933	0.097667	3.432	3.535835	3.620898	0.076166	0.090007	0.080371	0.065169	1.95825	2.003835	1.954956	1.995957	1.243326	1.158652	1.177754	1.247278	0.891982	0.87455	0.859664	0.888825	17.840412	18.325035	23.323849	22.924889	1.085678	1.127619	1.080918	1.113015	2.30979	2.505453	2.365297	6.492858	6.742394	6.876292
k__Bacteria|p__Thermodesulfobacteriota	1.036316	0.752902	0.928193	0.871417	0.0	0.0	0.0	0.27515	0.242363	0.233654	0.228601	0.117238	0.146099	0.144093	0.291378	0.255017	0.272917	0.27821	0.367862	0.329785	0.326596	0.327086	0.180395	0.154589	0.194757	0.145695	0.095518	0.078415	0.090848	0.080949	0.300587	0.320239	0.0	0.283596	0.048688	0.028942	0.031998	0.027786	0.095024	0.104485	0.111703	0.160775	0.131853	0.147812
k__Bacteria|p__Actinomycetota	0.7351	0.682104	0.642106	0.66253	0.191663	0.143604	0.153883	0.352137	0.349968	0.331991	0.34204	0.531155	0.525683	0.500259	0.001361	0.008276	0.008205	0.001742	1.693584	1.589772	1.569457	1.579513	0.114756	0.100641	0.110395	0.137512	0.086867	0.068929	0.069439	0.060353	0.449736	0.438625	0.08799	0.087854	0.355969	0.355092	0.326383	0.273849	0.84258	0.755337	0.747178	0.349922	0.282032	0.31817
k__Bacteria|p__Bacteria_unclassified	0.03108	0.03824	0.042735	0.040417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012222	0.004813	0.011903	0.011724	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	52.267277	52.704425	53.001885	53.74614	73.640993	71.478172	72.765471	45.961406	45.702159	45.004541	45.420595	53.690584	53.834552	53.655103	76.333952	77.005553	77.21625	77.882948	31.636034	31.695789	30.958111	31.250598	31.084856	31.376667	30.81845	29.956583	66.661395	66.63104	66.053283	66.570076	38.462732	38.615617	36.140021	36.604353	47.985542	48.174822	47.093284	47.459563	28.382765	29.408504	28.193631	49.959383	49.361896	49.480803
k__Bacteria|p__Firmicutes|c__Clostridia	23.426155	23.214527	23.10927	23.165964	13.504562	13.177395	13.141417	35.074071	35.417173	34.860313	35.167243	27.210125	26.564483	26.568015	11.274341	11.055125	10.683719	10.514131	25.031195	25.118231	25.046966	24.640191	20.432006	19.563676	19.897647	19.80497	8.157818	7.858187	7.754646	7.558128	13.939825	13.399633	9.387451	9.679454	42.324593	43.181807	43.014353	43.138317	27.813788	27.655365	27.426662	18.81066	18.225438	18.17567
