#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR11047625	SRR11047626	SRR11047627	SRR11047628	SRR11047629	SRR11047631	SRR11047632	SRR11047633	SRR11047634	SRR11047635	SRR11047636	SRR11047637	SRR11047639	SRR11047640	SRR11047641	SRR11047642	SRR11047643	SRR11047644	SRR11047645	SRR11047647	SRR11047648	SRR11047649	SRR11047650	SRR11047651	SRR11047653	SRR11047654	SRR11047655	SRR11047656	SRR11047657	SRR11047658	SRR11047659	SRR11047660	SRR11047661	SRR11047662	SRR11047663	SRR11047664	SRR11047665	SRR11047666	SRR11047667	SRR11047668	SRR11047669	SRR11047670	SRR11047671	SRR11047672
UNCLASSIFIED	10.458777	10.979124	14.971264	9.531431	17.759065	25.934273	10.00065	16.215547	23.939165	12.021016	18.977239	12.077437	11.055237	14.954044	7.051844	14.898027	6.35635	22.400624	20.555062	9.169358	34.612009	12.051193	15.164062	13.038395	17.47263	29.025096	25.262399	26.287188	8.447115	14.046404	9.873648	21.59101	19.966185	13.179701	26.590332	16.172897	9.453517	19.994392	14.141028	15.876947	14.252684	11.769821	14.069686	11.543894
k__Bacteria	89.541223	89.020876	84.63842	90.468569	82.240935	74.065727	89.876709	83.784453	76.060835	87.978984	80.906439	87.85064	88.944763	85.045956	92.948156	85.043875	93.64365	77.599376	79.444938	90.721791	65.387991	87.948807	84.835938	86.961605	82.52737	70.974904	74.737601	73.712812	91.552885	85.953596	90.126352	78.023577	80.033815	86.787258	73.409668	83.827103	90.546483	80.005608	85.858972	84.123053	85.747316	88.230179	85.930314	88.4489
k__Bacteria|p__Bacteroidota	60.000779	75.027874	23.947277	63.367511	46.648763	34.830163	35.341111	65.654254	24.271979	57.835156	35.809715	44.190249	51.630999	38.253215	65.149706	50.17316	46.421569	55.924592	40.521425	36.347719	24.702097	69.841028	34.744825	48.741863	22.019365	47.968968	33.938157	44.844918	70.598994	38.510407	56.282285	24.618602	33.936764	29.566137	15.274853	37.618695	52.264648	47.343017	17.333462	11.225027	47.910417	59.434742	70.782702	54.010836
k__Bacteria|p__Firmicutes	28.174529	12.851519	53.673981	22.782235	26.228815	35.902841	46.960499	15.293929	50.972061	27.284588	41.582353	35.551536	32.520886	42.239908	26.966925	32.247357	42.574266	16.482074	35.80622	50.253827	38.507777	15.647733	47.981485	32.944716	57.036111	19.707394	38.675283	25.662071	19.063114	42.171127	29.625258	47.64469	43.910621	55.591093	56.917977	40.615819	34.006095	30.954296	63.934947	57.188728	31.997837	24.14973	14.928047	32.684418
k__Bacteria|p__Pseudomonadota	0.528439	0.554275	0.033614	1.693169	8.029886	0.131673	6.398404	2.439693	0.042991	1.801321	2.948567	5.313837	1.993963	0.762806	0.266905	1.371649	3.542786	0.0	0.125559	3.785488	0.841305	1.276831	0.579791	3.673687	0.123682	0.019702	0.408762	0.002894	1.262927	4.268497	0.033066	0.75386	2.066508	0.474731	0.005986	1.446121	2.544344	1.118854	0.262537	5.15117	0.343068	2.297041	0.11397	0.53258
k__Bacteria|p__Actinomycetota	0.386627	0.292342	6.361077	0.305566	0.328109	0.331678	0.855207	0.17018	0.252039	0.119195	0.254897	0.138562	1.518023	0.38845	0.324629	0.859507	0.238814	0.027732	0.581238	0.111604	1.336812	0.321915	0.110278	1.601339	3.336745	0.03254	1.146095	0.175016	0.080524	0.123638	0.339135	0.176182	0.071319	0.765343	0.352009	1.674669	1.264961	0.582267	0.325123	6.379259	5.477512	0.326351	0.099096	0.075593
k__Bacteria|p__Candidatus_Melainabacteria	0.179311	0.0	0.0	0.0	0.828907	0.0	0.0	0.0	0.0	0.0	0.195371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.215592	0.0	0.0	0.0	0.0	3.426605	0.0	0.0	0.010687	0.0	2.058269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.834996
k__Bacteria|p__Thermodesulfobacteriota	0.132438	0.288548	0.148981	0.468013	0.166941	0.0	0.307572	0.225071	0.0	0.0	0.0	0.099585	0.703141	0.432665	0.074131	0.212436	0.04992	0.735683	0.185714	0.067466	0.0	0.152198	0.0	0.0	0.0	0.0	0.569303	0.263515	0.23827	0.36888	0.0	0.0	0.0	0.169627	0.0	0.134061	0.45701	0.0	0.030568	0.257634	0.013042	0.310139	0.0	0.227478
k__Bacteria|p__Verrucomicrobiota	0.082882	0.0	0.0	1.842759	0.0	2.834868	0.0	0.000901	0.521764	0.932506	0.069775	2.499184	0.564715	2.958803	0.165859	0.007908	0.813153	4.381427	2.198385	0.0	0.0	0.556484	1.402756	0.0	0.0	0.0	0.0	2.720471	0.289411	0.511047	0.383653	3.954795	0.0	0.201247	0.858843	0.279282	0.0	0.0	3.972336	3.921235	0.0	1.703359	0.0	0.080868
k__Bacteria|p__Bacteria_unclassified	0.056217	0.006319	0.0	0.009315	0.009514	0.0	0.013917	0.000424	0.0	0.006218	0.007832	0.0	0.013037	0.01011	0.0	0.0	0.003143	0.047868	0.026397	0.003803	0.0	0.032314	0.016803	0.0	0.0	0.030708	0.0	0.043927	0.019644	0.0	0.03635	0.0	0.048603	0.008393	0.0	0.000187	0.009425	0.007173	0.0	0.0	0.005439	0.0	0.0065	0.002131
